date,momentum_tickers,qv_tickers
1999-01-29,,
1999-02-26,,
1999-03-31,,
1999-04-30,,
1999-05-28,,
1999-06-30,,
1999-07-30,,
1999-08-31,,
1999-09-30,,
1999-10-29,,
1999-11-30,QCOM;ADBE;VRSN;GEN;BIIB;LRCX;APA;SWKS;TRMB;ADI;AAPL;ZBRA;EA;COO;MCHP;APH;TXN;MGM;LH;GLW;FCX;EXPD;BKR;EBAY;AES;OXY;DVN;WSM;TECH;DGX;CL;PTC;C;KLAC;POOL;AXP;AMAT;JBL;MSI;SYY;HON;RVTY;RCL;GILD;FDS;ROP;EQT;OMC;DOV;NTAP;CPRT;WFC;LIN;HAL;ES;PH;WMT;EOG;CHD;CTSH;HD;DD;BA;NVDA;ORCL;SYK;CSCO;KMB;CAT;CMI;GE;JNJ;SLB;CTRA;AVY;AMGN;MMM;PAYX;IP;TER;AMZN;COP;MS;CVX;AIG;PG;MMC;PNC;HRL;BK;UDR;CMCSA;NKE;BMY;ITW;ESS;COF;NTRS;MTCH;WAT,
1999-12-31,QCOM;VRSN;AAPL;SWKS;ADBE;NTAP;GEN;LRCX;ADI;EA;BIIB;MCHP;ZBRA;JBL;LH;ORCL;TECH;TXN;TRMB;APH;INTU;PTC;CSCO;NVDA;TER;COO;KLAC;EXPD;AMAT;GLW;MSI;FCX;POOL;CTSH;FDS;AMD;APA;TTWO;SNPS;ROP;CPRT;RVTY;AES;OXY;DVN;WSM;HPQ;AMZN;PAYX;RCL;DGX;INCY;MTD;HON;KMB;EQT;INTC;SYY;AMGN;BBY;OMC;ES;C;IP;DOV;LIN;HD;GE;DECK;AXP;SWK;MMM;IPG;DE;ADP;CHRW;PH;MGM;CHD;NEM;CTRA;WMT;MS;VLO;HAL;WFC;CL;ESS;BKR;MSFT;NUE;COP;HRL;PG;DD;WY;XOM;VZ;IBM;CMCSA,
