date,momentum_tickers,qv_tickers
1999-01-29,,
1999-02-26,,
1999-03-31,,
1999-04-30,,
1999-05-28,,
1999-06-30,,
1999-07-30,,
1999-08-31,,
1999-09-30,,
1999-10-29,,
1999-11-30,QCOM;ADBE;VRSN;GEN;BIIB;LRCX;APA;SWKS;TRMB;ADI;AAPL;ZBRA;EA;COO;MCHP;APH;TXN;MGM;LH;GLW;FCX;EXPD;BKR;EBAY;AES,
1999-12-31,QCOM;VRSN;AAPL;SWKS;ADBE;NTAP;GEN;LRCX;ADI;EA;BIIB;MCHP;ZBRA;JBL;LH;ORCL;TECH;TXN;TRMB;APH;INTU;PTC;CSCO;NVDA;TER,
2000-01-31,QCOM;VRSN;ORCL;CTSH;GEN;BIIB;LRCX;INCY;SWKS;NTAP;AAPL;ADI;ADBE;NVDA;TER;ZBRA;TRMB;CPRT;GLW;KLAC;LH;FCX;REGN;TECH;AMAT,
2000-02-29,VRSN;INCY;QCOM;BIIB;NTAP;LRCX;ORCL;CTSH;GLW;TER;ADI;GEN;AMAT;SWKS;KLAC;TECH;INTU;AMD;AAPL;AMGN;NVDA;TXN;COO;CPRT;VRTX,
2000-03-31,INCY;VRSN;NTAP;REGN;FFIV;BIIB;CTSH;ORCL;LRCX;QCOM;ADI;SWKS;GLW;VRTX;KLAC;NVDA;TECH;TXN;AMAT;GEN;TER;AAPL;RVTY;ADBE;MU,
2000-04-28,NTAP;CTSH;QCOM;ORCL;NVDA;SBAC;VRSN;AMD;REGN;ADI;LRCX;INCY;MU;AAPL;GLW;GEN;AMAT;TECH;ADBE;APH;SWKS;TXN;KLAC;CSCO;TER,
2000-05-31,AMD;NTAP;NVDA;ORCL;CTSH;VRSN;SBAC;ADI;QCOM;REGN;INCY;TER;APH;GLW;TRMB;ADBE;AMAT;TECH;RMD;PWR;DGX;LRCX;VRTX;CSCO;TXN,
2000-06-30,NVDA;CTSH;NTAP;AMD;ORCL;TRMB;VRSN;SBAC;ADI;REGN;GLW;PWR;TECH;JKHY;VRTX;TER;ADBE;DGX;LH;AMAT;INCY;APH;SWKS;LRCX;MU,
2000-07-31,NVDA;SBAC;NTAP;TRMB;AMD;TECH;GLW;REGN;ORCL;INCY;VRTX;VRSN;PWR;LH;DGX;ADI;JKHY;UHS;APH;BIIB;MU;AMAT;ADBE;CTSH;AMT,
