Date,Selection (raw),VolTargeting adj,Transaction Cost drag,Net
2011-05-10,3.813908812482709,2.86281847918026,-0.04450500000000001,2.90732347918026
2011-05-11,3.744618766994048,2.816439996959748,-0.04450500000000001,2.860944996959748
2011-05-12,3.7664319156085266,2.8304343044572047,-0.04450500000000001,2.8749393044572047
2011-05-13,3.721723998725756,2.8015622682841226,-0.04450500000000001,2.8460672682841226
2011-05-16,3.6744089392872334,2.771873508500494,-0.04450500000000001,2.816378508500494
2011-05-17,3.64367981410318,2.7528988724241357,-0.04450500000000001,2.7974038724241357
2011-05-18,3.734113951593822,2.811192140052367,-0.04450500000000001,2.855697140052367
2011-05-19,3.746799627652697,2.818711446700013,-0.04450500000000001,2.863216446700013
2011-05-20,3.7050412283527887,2.7906502300224347,-0.04450500000000001,2.8351552300224347
2011-05-23,3.6270555288215887,2.7384644866209498,-0.04450500000000001,2.78296948662095
2011-05-24,3.615371737761107,2.7311325562591278,-0.04450500000000001,2.775637556259128
2011-05-25,3.6713243134909845,2.766822781430522,-0.04450500000000001,2.811327781430522
2011-05-26,3.712294335725262,2.7924392057833773,-0.04450500000000001,2.8369442057833774
2011-05-27,3.7291974408668462,2.8027313016461064,-0.04450500000000001,2.8472363016461064
2011-05-31,3.7804287448978373,2.8337520344842395,-0.04495500000000001,2.8787070344842394
2011-06-01,3.673633779145093,2.7707853404693195,-0.04495500000000001,2.8157403404693193
2011-06-02,3.6866858030873217,2.7779909002137213,-0.04495500000000001,2.822945900213721
2011-06-03,3.626966987364539,2.7443759557746517,-0.04495500000000001,2.7893309557746515
2011-06-06,3.560330163125002,2.7078745715273462,-0.04495500000000001,2.752829571527346
2011-06-07,3.5774496673413765,2.7170740938553877,-0.04495500000000001,2.7620290938553875
2011-06-08,3.547150602864801,2.7004928215139867,-0.04495500000000001,2.7454478215139866
2011-06-09,3.5891175745790393,2.724370526655535,-0.04495500000000001,2.769325526655535
2011-06-10,3.5089025459116066,2.6786785492695757,-0.04495500000000001,2.7236335492695756
2011-06-13,3.4856889643906834,2.6658962348002375,-0.04495500000000001,2.7108512348002374
2011-06-14,3.5726375338493526,2.7142354430593887,-0.04495500000000001,2.7591904430593885
2011-06-15,3.4895512868957415,2.6714877941807575,-0.04495500000000001,2.7164427941807574
2011-06-16,3.4661988636123517,2.6599016428361173,-0.04495500000000001,2.704856642836117
2011-06-17,3.47126570726104,2.6626320214993315,-0.04495500000000001,2.7075870214993314
2011-06-20,3.514573453940545,2.686025862761262,-0.04495500000000001,2.7309808627612617
2011-06-21,3.6321767066197443,2.7480909133237366,-0.04495500000000001,2.7930459133237364
2011-06-22,3.6137768388394393,2.739219199983002,-0.04495500000000001,2.784174199983002
2011-06-23,3.626322905307391,2.745269082212213,-0.04495500000000001,2.790224082212213
2011-06-24,3.5795704133221786,2.722233903892076,-0.04495500000000001,2.767188903892076
