date,momentum_tickers,qv_tickers
1999-01-29,,
1999-02-26,,
1999-03-31,,
1999-04-30,,
1999-05-28,,
1999-06-30,,
1999-07-30,,
1999-08-31,,
1999-09-30,,
1999-10-29,,
1999-11-30,,
1999-12-31,,
2000-01-31,,
2000-02-29,,
2000-03-31,,
2000-04-28,,
2000-05-31,QCOM;VRSN;ADI;ADBE;NTAP;NVDA;GLW;ORCL;SWKS;TRMB;APH;AMD;TER;LRCX;LH;INCY;AMAT;TXN;GEN;DGX;AAPL;TECH;CTSH;REGN;PWR,
2000-06-30,QCOM;VRSN;ADI;SWKS;NTAP;NVDA;TRMB;ADBE;AMD;ORCL;GEN;LH;LRCX;TER;TECH;GLW;TXN;BIIB;REGN;VRTX;CTSH;DGX;AMAT;MCHP;APH,
2000-07-31,ORCL;NVDA;NTAP;AMD;TRMB;SWKS;ADBE;TECH;REGN;VRSN;ADI;LH;GLW;INCY;BIIB;VRTX;GEN;MU;APH;DGX;PWR;LRCX;QCOM;JKHY;AAPL,
2000-08-31,NVDA;NTAP;ORCL;VRSN;VRTX;BIIB;REGN;INCY;DGX;GLW;CTSH;MU;TECH;LH;AMD;ADBE;ADI;TRMB;JKHY;GEN;APH;WAT;AMAT;CSCO;QCOM,
2000-09-29,NTAP;NVDA;VRTX;VRSN;ORCL;GLW;REGN;BIIB;ADI;DGX;LH;MU;AMD;FFIV;TECH;CTSH;ADBE;APH;TRMB;INCY;WAT;RVTY;LRCX;SWKS;AMAT,
2000-10-31,NTAP;NVDA;VRTX;DGX;TECH;LH;VRSN;GLW;ADBE;BIIB;ORCL;REGN;ADI;SBAC;WAT;CTSH;RVTY;APH;AMD;INCY;PAYX;AJG;AES;IVZ;JBL,
2000-11-30,NTAP;VRTX;NVDA;LH;SBAC;BIIB;TECH;DGX;VRSN;ADBE;RVTY;ORCL;GLW;CTSH;PAYX;INCY;REGN;APH;AMD;IVZ;ADI;JBL;JKHY;CDNS;INTU,
2000-12-29,LH;DGX;VRTX;SBAC;REGN;JKHY;UHS;CTSH;NVDA;NTAP;PAYX;TECH;ORCL;BIIB;RVTY;GLW;ADBE;RMD;APH;AJG;STT;EG;NTRS;SBUX;TRMB,
2001-01-31,LH;DGX;REGN;UHS;VRTX;BIIB;SBAC;JKHY;NVDA;EG;BLK;UNH;NTAP;INCY;CB;EOG;IVZ;RVTY;WAT;DVA;AJG;RMD;LEN;HSIC;NVR,
