Date,Selection (raw),VolTargeting adj,Transaction Cost drag,Net
2010-08-31,2.3369017161232475,1.3688029086829436,-0.05079,1.4195929086829437
2010-09-01,2.467316351557736,1.4102844505001215,-0.05079,1.4610744505001216
2010-09-02,2.5318558407922276,1.4270551402770195,-0.05079,1.4778451402770196
2010-09-03,2.6012572884977905,1.4443735109491502,-0.05079,1.4951635109491503
2010-09-07,2.5495093588835216,1.4320064527649348,-0.05079,1.4827964527649349
2010-09-08,2.5860132274335967,1.4407554967714264,-0.05079,1.4915454967714266
2010-09-09,2.5741818045993825,1.4379370996934115,-0.05079,1.4887270996934117
2010-09-10,2.596310416071398,1.4438192519277404,-0.05079,1.4946092519277405
2010-09-13,2.6720010939045173,1.4640330051681274,-0.05079,1.5148230051681275
2010-09-14,2.6699647941415807,1.4635098962861801,-0.05079,1.5142998962861802
2010-09-15,2.6824823365032406,1.4667225760505795,-0.05079,1.5175125760505797
2010-09-16,2.6692089842377875,1.4632543344177216,-0.05079,1.5140443344177217
2010-09-17,2.6782425398058614,1.4656150996766177,-0.05079,1.5164050996766179
2010-09-20,2.7649275735342917,1.4895766025093806,-0.05079,1.5403666025093807
2010-09-21,2.7436342342482836,1.4839875418593373,-0.05079,1.5347775418593375
2010-09-22,2.6948116919749276,1.470911858811157,-0.05079,1.521701858811157
2010-09-23,2.6655383877203844,1.4626434293949724,-0.05079,1.5134334293949725
2010-09-24,2.7694513485063132,1.4916938238729665,-0.05079,1.5424838238729666
2010-09-27,2.7527305422904056,1.4872440317142601,-0.05079,1.5380340317142602
2010-09-28,2.79003367955311,1.4974254922126815,-0.05079,1.5482154922126816
2010-09-29,2.792611068385041,1.4981839672546275,-0.05079,1.5489739672546277
2010-09-30,2.781061721592434,1.4947902843971228,-0.051390000000000005,1.5461802843971229
2010-10-01,2.785917980246847,1.4964577613341858,-0.051390000000000005,1.547847761334186
2010-10-04,2.77497552707773,1.4925628078653523,-0.051390000000000005,1.5439528078653524
2010-10-05,2.858468436796676,1.5237469208402183,-0.051390000000000005,1.5751369208402184
2010-10-06,2.7946515082969836,1.5003217366748633,-0.051390000000000005,1.5517117366748634
2010-10-07,2.8062234295334743,1.5043247516978777,-0.051390000000000005,1.5557147516978778
2010-10-08,2.842540117550286,1.516958532649325,-0.051390000000000005,1.568348532649325
2010-10-11,2.840458434545833,1.5162414364087113,-0.051390000000000005,1.5676314364087114
2010-10-12,2.8907998794268654,1.534642756992298,-0.051390000000000005,1.586032756992298
2010-10-13,2.9147799326333304,1.5431934714883724,-0.051390000000000005,1.5945834714883724
2010-10-14,2.910118695689111,1.5415389596466618,-0.051390000000000005,1.5929289596466618
2010-10-15,2.919285553162806,1.5448111482819238,-0.051390000000000005,1.5962011482819238
2010-10-18,2.9285099095335783,1.5481002656565321,-0.051390000000000005,1.5994902656565322
2010-10-19,2.863657385932997,1.5228180140144771,-0.051390000000000005,1.5742080140144772
2010-10-20,2.9265875222126447,1.5460678501535634,-0.051390000000000005,1.5974578501535635
2010-10-21,2.9316108403025147,1.5479274182669105,-0.051390000000000005,1.5993174182669105
2010-10-22,2.9769562369768585,1.5651433393358722,-0.051390000000000005,1.6165333393358723
2010-10-25,3.000462372347444,1.5753605139769693,-0.051390000000000005,1.6267505139769693
2010-10-26,3.0137437738724318,1.5812005889780414,-0.051390000000000005,1.6325905889780414
2010-10-27,3.016688292123498,1.5825122466950154,-0.051390000000000005,1.6339022466950155
2010-10-28,3.0163328636393576,1.5823539427663302,-0.051390000000000005,1.6337439427663303
2010-10-29,3.033463941308961,1.590047066777772,-0.051750000000000004,1.641797066777772
2010-11-01,3.0304275025571057,1.5886843202283303,-0.051750000000000004,1.6404343202283302
2010-11-02,3.078611885009786,1.6104605005615475,-0.051750000000000004,1.6622105005615475
2010-11-03,3.1022460691115095,1.6221940617625066,-0.051750000000000004,1.6739440617625065
2010-11-04,3.166731713177848,1.6603020392562189,-0.051750000000000004,1.7120520392562188
2010-11-05,3.1748015145383217,1.664762758285336,-0.051750000000000004,1.716512758285336
2010-11-08,3.1825153601346186,1.6690681145987631,-0.051750000000000004,1.720818114598763
2010-11-09,3.149996938084559,1.650770942630083,-0.051750000000000004,1.702520942630083
2010-11-10,3.1915186671960107,1.6736412492209762,-0.051750000000000004,1.7253912492209762
2010-11-11,3.186323725803149,1.6708312224121564,-0.051750000000000004,1.7225812224121564
2010-11-12,3.127094828781982,1.6387939155465099,-0.051750000000000004,1.6905439155465098
2010-11-15,3.1153349226718525,1.633130309661817,-0.051750000000000004,1.684880309661817
2010-11-16,3.039347926809313,1.5968764719722741,-0.051750000000000004,1.648626471972274
2010-11-17,3.06158795528473,1.6072600599098976,-0.051750000000000004,1.6590100599098976
2010-11-18,3.1233906880466584,1.6381064230362976,-0.051750000000000004,1.6898564230362976
2010-11-19,3.1649809283095047,1.6575593747510107,-0.051750000000000004,1.7093093747510106
2010-11-22,3.219379664877998,1.6831458364101604,-0.051750000000000004,1.7348958364101603
2010-11-23,3.1798270094242422,1.6652062965278613,-0.051750000000000004,1.7169562965278613
2010-11-24,3.2713001816887033,1.7050870932425752,-0.051750000000000004,1.7568370932425752
2010-11-26,3.267127133596775,1.7034490458794385,-0.051750000000000004,1.7551990458794384
2010-11-29,3.252193059584905,1.6975939496989305,-0.051750000000000004,1.7493439496989305
2010-11-30,3.2415457910138086,1.693452697470355,-0.05208,1.7455326974703549
2010-12-01,3.330119654709593,1.7278151396316628,-0.05208,1.7798951396316627
2010-12-02,3.356692149715209,1.7375042108605716,-0.05208,1.7895842108605715
2010-12-03,3.3707401602810565,1.7426112086984449,-0.05208,1.7946912086984448
2010-12-06,3.377439581071793,1.745134292692684,-0.05208,1.797214292692684
2010-12-07,3.3763577337572173,1.744727157508362,-0.05208,1.796807157508362
2010-12-08,3.3839230929537463,1.7475702823624086,-0.05208,1.7996502823624085
2010-12-09,3.4044174429356957,1.755458601344257,-0.05208,1.807538601344257
2010-12-10,3.4359900205475142,1.7677354000977017,-0.05208,1.8198154000977016
2010-12-13,3.404348183057344,1.7554759833753093,-0.05208,1.8075559833753092
2010-12-14,3.3750305616638396,1.743510811747555,-0.05208,1.795590811747555
2010-12-15,3.3517682578521235,1.7341457961053681,-0.05208,1.786225796105368
2010-12-16,3.4130236445108135,1.761932707120704,-0.05208,1.814012707120704
2010-12-17,3.4378017585225544,1.7727803091900278,-0.05208,1.8248603091900277
2010-12-20,3.458571775531027,1.7822262027412905,-0.05208,1.8343062027412904
2010-12-21,3.5089811038536247,1.8054431909460122,-0.05208,1.8575231909460121
2010-12-22,3.4963255638265744,1.799569055976245,-0.05208,1.8516490559762449
2010-12-23,3.472903658514163,1.7881736439319744,-0.05208,1.8402536439319743
2010-12-27,3.4765269144877937,1.7901745627635925,-0.05208,1.8422545627635925
2010-12-28,3.457337660830368,1.7795319985921432,-0.05208,1.831611998592143
2010-12-29,3.4702179760729086,1.7866438816258943,-0.05208,1.8387238816258942
2010-12-30,3.465957974857252,1.7842628015414785,-0.05208,1.8363428015414784
2010-12-31,3.4449455756166163,1.7697209994159326,-0.0525,1.8222209994159326
2011-01-03,3.5213076596042345,1.8220367343070447,-0.0525,1.8745367343070447
2011-01-04,3.4987283016192166,1.8088249569695147,-0.0525,1.8613249569695147
2011-01-05,3.5437279972800386,1.83455987204513,-0.0525,1.88705987204513
2011-01-06,3.5279325644957407,1.8258343907032946,-0.0525,1.8783343907032946
2011-01-07,3.5361656989392847,1.8303235354995695,-0.0525,1.8828235354995695
2011-01-10,3.569403849121807,1.848526545258236,-0.0525,1.901026545258236
2011-01-11,3.5558323391609017,1.8411072357407892,-0.0525,1.8936072357407892
2011-01-12,3.592619732557764,1.8617892778982337,-0.0525,1.9142892778982337
2011-01-13,3.602308574281187,1.8673486876316332,-0.0525,1.9198486876316332
2011-01-14,3.647319136488985,1.8940869769239805,-0.0525,1.9465869769239805
2011-01-18,3.6388297268591003,1.8888008585593439,-0.0525,1.9413008585593439
2011-01-19,3.560969739727204,1.8405585025701527,-0.0525,1.8930585025701527
2011-01-20,3.4880990213592167,1.8026004932566844,-0.0525,1.8551004932566844
2011-01-21,3.477397444782185,1.7973553953532764,-0.0525,1.8498553953532764
2011-01-24,3.4863571094317685,1.8017524682257018,-0.0525,1.8542524682257018
2011-01-25,3.486325892615784,1.801737015016987,-0.0525,1.854237015016987
2011-01-26,3.5645648189450583,1.8404735755252477,-0.0525,1.8929735755252477
2011-01-27,3.6326109578773957,1.871083786351103,-0.0525,1.923583786351103
2011-01-28,3.5181435669799876,1.8225533122229303,-0.0525,1.8750533122229303
2011-01-31,3.5499281914228504,1.8340579592282715,-0.052829999999999995,1.8868879592282715
2011-02-01,3.621078574210709,1.859706204370807,-0.052829999999999995,1.912536204370807
2011-02-02,3.604423638886111,1.8536814231850554,-0.052829999999999995,1.9065114231850553
2011-02-03,3.6527524038730226,1.8712479557026294,-0.052829999999999995,1.9240779557026293
