,Total Return %,Ann Return %,Ann Vol %,Sharpe,Sortino,Max Drawdown %,Calmar,Max Recovery Days,Worst Day %,Worst Month %,Hit Ratio %
Strategy(sens_tn25_tv0.08_lb189),1040.0184767722021,10.269095819158691,8.924254771662978,1.0955814553444594,1.575988586133612,-20.50923344217854,0.5007059794853006,714.0,-2.961386086602186,-7.572580432329746,55.6171763587387
Benchmark(QQQ),1089.483454871564,14.109046523747914,27.072842762050325,0.48764337044424666,0.6995371167457748,-82.96390854198178,0.1700624617583969,3747.0,-11.978775645712025,-26.205325036477657,54.73977695167286
