Date,Selection (raw),VolTargeting adj,Transaction Cost drag,Net
2006-01-19,2.4476690382458237,1.3743072755436878,-0.026189999999999998,1.4004972755436877
2006-01-20,2.3779734405903263,1.3469208817114047,-0.026189999999999998,1.3731108817114046
2006-01-23,2.396096436099535,1.3532994753488725,-0.026189999999999998,1.3794894753488725
2006-01-24,2.474609559571957,1.3809586889672376,-0.026189999999999998,1.4071486889672375
2006-01-25,2.4596995723079047,1.3759298229008294,-0.026189999999999998,1.4021198229008294
2006-01-26,2.525653742114943,1.3979539568007886,-0.026189999999999998,1.4241439568007885
2006-01-27,2.56010860518381,1.4097127773709848,-0.026189999999999998,1.4359027773709847
2006-01-30,2.5841996248787766,1.417917371481694,-0.026189999999999998,1.4441073714816939
2006-01-31,2.587953527114136,1.419239013749753,-0.02649,1.445729013749753
2006-02-01,2.5354968887953393,1.4003335434135051,-0.02649,1.426823543413505
2006-02-02,2.4897855531954485,1.383290264643969,-0.02649,1.409780264643969
2006-02-03,2.4450415530676004,1.3669942387505598,-0.02649,1.3934842387505597
2006-02-06,2.4437414252780827,1.3665393482527461,-0.02649,1.393029348252746
2006-02-07,2.353704201214635,1.332526966500589,-0.02649,1.359016966500589
2006-02-08,2.3780559407224042,1.340842326946408,-0.02649,1.367332326946408
2006-02-09,2.3407683643661223,1.3280236806621493,-0.02649,1.3545136806621492
2006-02-10,2.3249705918897683,1.3225924814222179,-0.02649,1.3490824814222178
2006-02-13,2.283888158788371,1.3084000242077574,-0.02649,1.3348900242077573
2006-02-14,2.3227454720452925,1.3217684775146092,-0.02649,1.3482584775146091
2006-02-15,2.3467517041983124,1.3297741728838006,-0.02649,1.3562641728838005
2006-02-16,2.4214596656718146,1.3543736535761224,-0.02649,1.3808636535761223
2006-02-17,2.4193624672464265,1.3537109544776964,-0.02649,1.3802009544776963
2006-02-21,2.393401062852899,1.3450093602167934,-0.02649,1.3714993602167933
2006-02-22,2.400733780413567,1.3474627066146478,-0.02649,1.3739527066146477
2006-02-23,2.418274861527186,1.3538681746929524,-0.02649,1.3803581746929523
2006-02-24,2.4467687179884328,1.3642068512318883,-0.02649,1.3906968512318882
2006-02-27,2.4700095331732443,1.3731046080061677,-0.02649,1.3995946080061676
2006-02-28,2.3957582615217796,1.3444393054895594,-0.02679,1.3712293054895595
2006-03-01,2.4692462065507312,1.3714784631054395,-0.02679,1.3982684631054396
2006-03-02,2.507084738029448,1.3840707233267984,-0.02679,1.4108607233267985
2006-03-03,2.4806232956305867,1.3752528289244657,-0.02679,1.4020428289244657
