Date,Turnover_sum,Cost_sum,adds,drops,kept
2007-06-30,0.3,0.00045,15,15,35
2007-07-31,0.28,0.00042000000000000007,14,14,36
2007-08-31,0.2799999999999999,0.0004199999999999999,14,14,36
2007-09-30,0.14000000000000012,0.0002100000000000002,7,7,43
2007-10-31,0.24000000000000005,0.0003600000000000001,12,12,38
2007-11-30,0.25999999999999995,0.00038999999999999994,13,13,37
2007-12-31,0.22000000000000003,0.00033000000000000005,11,11,39
2008-01-31,0.21999999999999997,0.00032999999999999994,11,11,39
2008-02-29,0.26,0.00039000000000000005,13,13,37
2008-03-31,0.33999999999999997,0.0005099999999999999,17,17,33
2008-04-30,0.22000000000000003,0.00033000000000000005,11,11,39
2008-05-31,0.26,0.00039000000000000005,13,13,37
2008-06-30,0.32000000000000006,0.0004800000000000001,16,16,34
2008-07-31,0.31999999999999995,0.00047999999999999996,16,16,34
2008-08-31,0.36,0.00054,18,18,32
2008-09-30,0.4,0.0006000000000000001,20,20,30
2008-10-31,0.48,0.0007199999999999999,24,24,26
2008-11-30,0.42000000000000004,0.00063,21,21,29
2008-12-31,0.36000000000000004,0.0005400000000000001,18,18,32
2009-01-31,0.23999999999999996,0.00035999999999999997,12,12,38
2009-02-28,0.33999999999999997,0.0005099999999999999,17,17,33
2009-03-31,0.23999999999999996,0.00035999999999999997,12,12,38
2009-04-30,0.38,0.00057,19,19,31
2009-05-31,0.38,0.00057,19,19,31
2009-06-30,0.3999999999999999,0.0005999999999999998,20,20,30
2009-07-31,0.44000000000000006,0.0006600000000000001,22,22,28
2009-08-31,0.5,0.00075,25,25,25
2009-09-30,0.4,0.0006000000000000001,20,20,30
2009-10-31,0.3400000000000001,0.0005100000000000001,17,17,33
2009-11-30,0.28,0.00042000000000000007,14,14,36
2009-12-31,0.36,0.00054,18,18,32
2010-01-31,0.26,0.00039000000000000005,13,13,37
2010-02-28,0.27999999999999997,0.00041999999999999996,14,14,36
2010-03-31,0.28,0.00042000000000000007,14,14,36
2010-04-30,0.26,0.00039000000000000005,13,13,37
2010-05-31,0.2999999999999999,0.0004499999999999998,15,15,35
2010-06-30,0.35999999999999993,0.0005399999999999999,18,18,32
2010-07-31,0.32,0.00048,16,16,34
2010-08-31,0.38000000000000006,0.0005700000000000001,19,19,31
2010-09-30,0.34,0.00051,17,17,33
2010-10-31,0.31999999999999995,0.00047999999999999996,16,16,34
2010-11-30,0.24,0.00035999999999999997,12,12,38
2010-12-31,0.26,0.00039000000000000005,13,13,37
2011-01-31,0.20000000000000007,0.0003000000000000001,10,10,40
2011-02-28,0.36,0.00054,18,18,32
