date,momentum_tickers,qv_tickers
1999-01-29,,
1999-02-26,,
1999-03-31,,
1999-04-30,,
1999-05-28,,
1999-06-30,,
1999-07-30,,
1999-08-31,,
1999-09-30,,
1999-10-29,,
1999-11-30,,
1999-12-31,,
2000-01-31,,
2000-02-29,QCOM;VRSN;BIIB;INCY;NTAP;LRCX;GLW;SWKS;ADI;ORCL;AAPL;TECH;GEN;AES;ADBE;TXN;AMAT;TRMB;KLAC;COO;CPRT;APH;AMGN;TER;MCHP;APA;INTU;MSI;ZBRA;CTSH;NVDA;EA;CSCO;LH;DGX;EXPD;RVTY;FCX;POOL;JBL;EBAY;PTC;AXP;REGN;WAT;C;JKHY;ROP;MS;MMC;OMC;BKR;CCI;SLB;CHRW;AMD;HD;INTC;NTRS;CL;DVN;AVY;EQT;PAYX;DE;OXY;CSGP;SYY;MGM;AMT;CMCSA;ES;PH;HPQ;GE;BA;DD;MTCH;RCL;SYK;DOV;WMT;VRTX;FDS;HAL;AIG;ESS;KMB;IVZ;IBM;VLO;SBUX;GWW;MMM;LIN;HON;COST;EL;AME;XOM,
2000-03-31,QCOM;INCY;VRSN;NTAP;SWKS;REGN;ADI;BIIB;LRCX;GEN;ORCL;ADBE;AAPL;TXN;GLW;TER;TECH;CTSH;MCHP;VRTX;AMAT;KLAC;TRMB;RVTY;NVDA;CSCO;MSI;EA;ZBRA;APH;LH;CCI;AES;AMD;JBL;RMD;COO;INTC;HPQ;AMGN;CSGP;AMT;PTC;POOL;CPRT;WAT;TTWO;JKHY;INTU;CHRW;APA;PWR;PAYX;DGX;FDS;DVN;SLB;MS;EXPD;TMO;GILD;VLO;MU;DECK;FCX;EQT;MTD;ROP;CTRA;WMB;ESS;LHX;MDT;GE;OMC;BKR;HD;BBY;C;HAL;SBUX;ES;IVZ;MSFT;AVY;NTRS;IBM;DOV;OXY;CL;NEM;IDXX;MMM;NUE;SCHW;FAST;CPT;MTCH;SYK;PCAR,
