date,momentum_tickers,qv_tickers
2001-04-30,DVA;COR;LH;VTR;NVR;L;DGX;MO;HSIC;EG;PPL;KMX;CAH;CNP;UNH;WRB;ETR;PHM;NI;UHS;DHI;LEN;J;ALL;EXC;EOG;WM;CB;D;AJG;RSG;BLK;BRO;NVDA;LMT;OKE;DUK;PNW;SO;GL;CMS;NOC;AEP;POOL;XEL;WBA;WELL;BAX;EVRG;MTB,
2001-05-31,DVA;KMX;NVR;COR;VTR;HSIC;PPL;L;LEN;LH;MO;BRO;DHI;EA;DGX;J;EG;BIIB;STE;NVDA;UNH;PHM;CNP;WRB;PGR;MCK;ALL;CAH;ORLY;GILD;EVRG;NI;OKE;TJX;BA;CSX;SRE;FICO;EXC;EQT;MTB;SJM;ETR;MET;URI;DUK;RL;SYK;WM;D,
2001-06-29,KMX;DVA;NVR;VTR;PPL;BIIB;COR;J;RMD;HSIC;LEN;LH;MCK;MO;L;TTWO;DHI;STE;EG;WRB;GILD;RL;DGX;PHM;ORLY;NI;FICO;FCX;EA;CSX;BRO;MTB;CNP;BA;ALL;WELL;CAH;DRI;HUM;MET;EXC;BALL;DUK;ETR;LMT;ROL;YUM;SO;EXPD;SYK,
2001-07-31,KMX;VTR;DVA;NVR;PPL;STE;EG;WRB;DHI;L;LEN;FICO;HUM;HSIC;ORLY;ALL;PHM;LH;J;DGX;MO;RMD;RL;PGR;SWK;LOW;CPRT;COR;MCK;AZO;DRI;MTB;AME;TJX;CSX;SO;WELL;SRE;STZ;RF;BIIB;AEP;GL;GPC;PKG;ROP;BRO;GILD;MHK;EXC,
2001-08-31,KMX;NVR;DVA;VTR;STE;ORLY;TJX;AZO;DHI;BRO;CPRT;FICO;PGR;HSIC;PKG;TTWO;DRI;LEN;MO;SWK;LOW;STZ;CCL;GPC;EG;WRB;EFX;MTB;GL;PPL;ADSK;MCK;L;YUM;CSX;MHK;LH;WM;JBHT;CAT;RF;SNPS;COR;PHM;ROST;RMD;SO;AME;HAS;HRL,
2001-09-28,DVA;KMX;VTR;STE;NVR;AZO;ORLY;FICO;TJX;HSIC;ROST;COO;EFX;JBHT;PGR;COR;DHI;BRO;STZ;PKG;RMD;WRB;MHK;HRL;LEN;MTB;DRI;EG;J;WM;GL;LOW;BALL;GPC;ADM;MCK;MO;SWK;CCL;TYL;WELL;ETN;CPRT;MKC;SRE;HAS;TTWO;CHD;PSA;HUM,
2001-10-31,KMX;DVA;VTR;AZO;CPRT;ROST;ORLY;TSCO;HSIC;BALL;NVR;BRO;GPC;MHK;J;MO;PGR;SWK;TJX;RMD;WELL;STE;EG;WM;STZ;TYL;GWW;CSX;DHI;MKC;CHD;COR;ADM;COO;ETN;NUE;IFF;PKG;HRL;GD;MTB;PCAR;CAT;EFX;WRB;FE;^VIX;LOW;YUM;GL,
2001-11-30,KMX;VTR;TSCO;ROST;AZO;CPRT;MHK;IFF;RMD;YUM;BRO;BALL;NVR;FICO;ORLY;STZ;NEM;GPC;LOW;HAS;DVA;WELL;SWK;J;GWW;HOLX;PGR;WRB;SJM;HSIC;PSA;ADSK;TYL;DHI;ACGL;UDR;GEN;DOC;HRL;DRI;ADM;CSX;FE;TPR;CHD;COR;NVDA;SO;STE;ETN,
2001-12-31,KMX;TSCO;VTR;AZO;LOW;WSM;BBY;FICO;NVR;CPRT;GILD;MHK;DVA;HOLX;NVDA;BRO;EBAY;BSX;BALL;GPC;FCX;ROST;ORLY;GEN;HSIC;TYL;RMD;IFF;SWK;PSA;BKNG;DHI;BAC;UDR;WELL;J;EW;PGR;ACGL;LIN;ERIE;SNPS;ADSK;KLAC;STZ;VTRS;TJX;NUE;CSX;TTWO,
2002-01-31,KMX;BKNG;TSCO;TYL;NVDA;BBY;VTR;AZO;WDC;WSM;LOW;MHK;GEN;ROST;FICO;HOLX;IT;EBAY;MCHP;URI;ACGL;CPRT;NVR;BSX;WELL;KLAC;TTWO;PNR;HAS;LRCX;DRI;EW;MCO;TPR;AAPL;ROP;ADSK;BRO;BALL;ISRG;STZ;SWK;IFF;TJX;YUM;DHI;GPC;GILD;PSA;HRL,
