date,momentum_tickers,qv_tickers
2001-07-31,DVA;KMX;VTR;COR;DGX;LH;NVR;PPL;L;MO;FICO;DHI;CAH;EG;WM;HSIC;BRO;NVDA;UNH;PHM;WELL;ETR;J;BIIB;ORLY;VRTX;STE;LEN;EW;ALL;SO;UHS;GILD;WRB;RSG;LMT;PEG;GL;PGR;PNW;EXC;MCK;BLK;MTB;SRE;NI;CB;DTE;JKHY;AEP,
2001-08-31,DVA;KMX;VTR;COR;NVR;LH;ORLY;STE;DHI;BRO;LEN;HSIC;DGX;EG;FICO;MCK;CSX;EA;AZO;BIIB;MO;WM;UNH;PPL;L;PGR;NVDA;MTB;WRB;RMD;CAH;TJX;WELL;PHM;URI;UHS;DRI;GL;J;MHK;POOL;SO;RF;PKG;BLK;MET;TTWO;STZ;PNC;GILD,
2001-09-28,KMX;DVA;VTR;BIIB;NVR;STE;RMD;LH;MCK;COR;LEN;DHI;FICO;ORLY;BRO;HUM;HSIC;EG;EA;GILD;PPL;WRB;TTWO;DGX;WELL;MHK;POOL;ROL;MO;J;MTB;UNH;PHM;CAH;RL;BALL;AZO;TJX;UHS;CSX;BLK;EFX;STZ;LOW;LMT;PKG;PSA;GL;COO;AME,
2001-10-31,KMX;VTR;DVA;NVR;WRB;HUM;HSIC;COR;BRO;EG;ORLY;AZO;LH;STE;J;VTRS;MO;DHI;LEN;LMT;MCK;RMD;BALL;TJX;CPRT;SO;WELL;PGR;DRI;AJG;STZ;MHK;GD;ROST;DGX;GPC;MTB;NOC;WM;ALL;UNH;TSCO;CRL;SWK;LOW;PHM;GL;MCO;FE;GILD,
2001-11-30,KMX;VTR;DVA;NVR;AZO;BRO;STE;HSIC;CPRT;WRB;YUM;TJX;ROST;ORLY;PGR;RMD;MO;J;SJM;BALL;DHI;TSCO;DRI;COR;GILD;LMT;STZ;EG;GPC;ADSK;L;VTRS;ADM;NVDA;SO;MHK;WELL;LH;EFX;LOW;PKG;MCO;HUM;ROP;LEN;UNH;PHM;BIIB;TTWO;SNPS,
2001-12-31,KMX;DVA;VTR;AZO;NVR;HSIC;WRB;CPRT;ORLY;BRO;STE;TSCO;BALL;TJX;DHI;PGR;J;SJM;ADM;LOW;FICO;MHK;ROST;EG;EFX;DRI;COR;GPC;HRL;RMD;LMT;COO;UNH;HUM;FE;SNPS;GIS;YUM;MO;AJG;PCAR;WM;WELL;ACGL;SWK;TYL;GWW;PSA;DOC;HSY,
2002-01-31,KMX;DVA;TSCO;AZO;VTR;TYL;ORLY;MHK;CPRT;NVR;ROST;FICO;DHI;BALL;SWK;GPC;HSIC;LOW;GWW;PGR;PCAR;JBHT;BRO;TJX;ADM;MO;NUE;IFF;PKG;WM;NVDA;CSX;ETN;ROK;J;ACGL;HRL;DRI;LEN;MCO;AOS;TGT;RMD;EFX;WRB;YUM;POOL;SNPS;WELL;SJM,
2002-02-28,KMX;TSCO;NVR;MHK;TPR;AZO;VTR;ROST;BALL;DHI;CPRT;HOLX;WSM;ORLY;DVA;BRO;HSIC;LOW;JBHT;TYL;SWK;GWW;GEN;FICO;IFF;YUM;STZ;CSX;ADSK;LEN;FCX;NVDA;NSC;GPC;NUE;WELL;LIN;TGT;PCAR;DRI;MAS;PSA;AOS;PHM;POOL;NKE;HAS;PGR;TJX;BBY,
2002-03-28,KMX;TSCO;VTR;NVR;MHK;WSM;AZO;DHI;BALL;ROST;LOW;FICO;TPR;BRO;GILD;SWK;STZ;TYL;EW;FCX;BBY;HOLX;DVA;KLAC;GPC;GEN;IFF;TTWO;ADSK;JBHT;PSA;NEM;WELL;HSIC;ORLY;PCAR;ACGL;NVDA;LIN;BAC;NUE;LEN;POOL;LMT;GWW;ERIE;DRI;J;CPRT;YUM,
2002-04-30,KMX;TSCO;BKNG;TYL;BBY;NVDA;NVR;HOLX;VTR;WSM;GEN;MHK;AZO;TPR;WDC;KLAC;BALL;URI;ROST;FICO;TTWO;PNR;LRCX;LOW;GILD;STZ;MCHP;FCX;LII;EBAY;WELL;IFF;ADSK;IT;DHI;BSX;LMT;EFX;YUM;BRO;STLD;GWW;ACGL;AOS;AAPL;MTCH;PGR;JBHT;ETN;NSC,
2002-05-31,KMX;TSCO;NVR;AZO;TYL;HOLX;BALL;TTWO;MHK;VTR;WSM;BRO;AOS;GPN;GILD;ACGL;ROST;TPR;NEM;PNR;YUM;DRI;STZ;FICO;DHI;LMT;PGR;PCG;LOW;J;STLD;WELL;DGX;SO;MCHP;WRB;UDR;MCO;ERIE;EFX;FAST;COR;PSA;SWK;IFF;ODFL;BKNG;ORLY;HSIC;NUE,
2002-06-28,KMX;TSCO;TYL;AZO;HOLX;NVR;WSM;TTWO;BALL;MHK;GILD;ROST;GPN;NEM;STZ;PGR;BRO;DHI;ACGL;VTR;DRI;MCO;PNR;BBY;BSX;YUM;LOW;DGX;LMT;CHD;UNH;AOS;PHM;ORLY;WELL;IFF;JBHT;MCHP;BAC;LEN;NUE;GWW;ERIE;TPR;CRL;HSIC;BKNG;PCG;SO;PSA,
2002-07-31,TSCO;TYL;HOLX;AZO;KMX;MHK;ROST;BRO;WSM;TPR;LMT;JBHT;BALL;PGR;DLTR;DHI;NVR;PNR;MCO;DGX;GILD;ACGL;VTR;STZ;LII;GPN;GD;YUM;UNH;NEM;COR;SPG;NUE;WELL;AOS;FRT;CAG;ERIE;IFF;O;LOW;PSA;NSC;PG;BSX;GWW;CHD;ORLY;STE;LEN,
2002-08-30,TSCO;TYL;AZO;BSX;BALL;HOLX;LMT;ACGL;^VIX;STZ;ODFL;VTR;FFIV;LII;PG;ROST;ERIE;MCO;FRT;AOS;CRL;TPR;CTSH;SPG;KMX;TTWO;PSA;WSM;NEM;K;REG;NVR;WELL;HBAN;PNR;DOC;PKG;UDR;JBHT;INTU;UNH;MHK;SHW;SO;DVA;BRO;SJM;ALB;CAG;GILD,
2002-09-30,TSCO;AZO;BALL;AOS;HOLX;ACGL;BSX;LMT;NVR;VTR;UNH;MHK;^VIX;LII;ROST;DHI;MCO;STZ;SJM;BRO;FRT;LEN;PG;REG;NOC;SPG;ODFL;HUM;HBAN;ALB;WELL;DOC;UDR;CAG;AME;SO;O;YUM;TPR;DRI;TYL;WSM;MNST;ERIE;COR;SHW;CLX;NEM;STE;CTSH,
2002-10-31,TSCO;BALL;AZO;BSX;WTW;NVR;ODFL;^VIX;HOLX;TYL;LMT;ACGL;AOS;TTWO;NOC;HSIC;BRO;UNH;PG;FRT;GEN;ROST;NEM;MCO;SJM;VTR;LII;CHD;MHK;IFF;YUM;FDX;DOC;MGM;APA;SO;CAG;REG;CTSH;WDC;SPG;TPR;ERIE;LHX;O;WELL;LEN;DE;COR;STE,
2002-11-29,TSCO;ODFL;BSX;HOLX;NVR;BALL;ROST;WDC;AZO;WTW;ACGL;TYL;GEN;AMZN;INTU;TPR;LMT;MCO;CHD;LII;CTSH;ZBH;IDXX;TAP;ZBRA;ALB;^VIX;UNH;SO;SJM;HSIC;FRT;WRB;DOC;REG;HUM;NOC;FDX;STE;CLX;MDLZ;PG;SPG;GILD;TTWO;NEM;BRO;CRL;SBUX;WELL,
