date,momentum_tickers,qv_tickers
1999-01-29,,
1999-02-26,,
1999-03-31,,
1999-04-30,,
1999-05-28,,
1999-06-30,,
1999-07-30,,
1999-08-31,,
1999-09-30,,
1999-10-29,,
1999-11-30,,
1999-12-31,,
2000-01-31,,
2000-02-29,,
2000-03-31,,
2000-04-28,,
2000-05-31,QCOM;VRSN;ADI;ADBE;NTAP;NVDA;GLW;ORCL;SWKS;TRMB;APH;AMD;TER;LRCX;LH;INCY;AMAT;TXN;GEN;DGX;AAPL;TECH;CTSH;REGN;PWR;APA;BIIB;KLAC;MCHP;COO;CSCO;AES;POOL;JBL;JKHY;WAT;BKR;CPRT;RVTY;VRTX;MGM;DVN;BBY;EQT;HPQ;INTC;SLB;AMGN;AMT;ZBRA;DOV;C;CHRW;IVZ;MU;EOG;MS;EXPD;CCI;EBAY;MSI;HAL;MMC;GE;FAST;AJG;VLO;RMD;NTRS;OXY;SYK;ROP;PAYX;STT;AXP;ESS;HD;OMC;FI;SYY;CTRA;PH;NEM;COST;CL;HON;LIN;IEX;WMT;ES;AIG;AVY;DD;NVR;CINF;DLTR;UNH;EMN;ETN;COP,
2000-06-30,QCOM;VRSN;ADI;SWKS;NTAP;NVDA;TRMB;ADBE;AMD;ORCL;GEN;LH;LRCX;TER;TECH;GLW;TXN;BIIB;REGN;VRTX;CTSH;DGX;AMAT;MCHP;APH;AAPL;PWR;JBL;MU;INCY;APA;CSCO;COO;JKHY;POOL;DVN;AES;INTC;KLAC;RVTY;WAT;HPQ;AMGN;PAYX;EQT;CPRT;ZBRA;EOG;CTRA;EXPD;MGM;EA;FAST;MS;CHRW;AJG;CCI;C;BBY;BKR;OXY;AMT;MSI;VLO;MTD;DECK;ESS;GE;HAL;DLTR;NTRS;SYY;ROP;MMC;UNH;DOV;ADP;SYK;SLB;IEX;AXP;FI;ES;INTU;FDS;COP;BRO;TMO;RMD;TTWO;IVZ;BK;AVB;STT;OMC;LHX;UHS;NOC;MDT;NEM,
