Date,Turnover_sum,Cost_sum,adds,drops,kept
1999-01-31,0.0,0.0,0,0,0
1999-02-28,0.0,0.0,0,0,0
1999-03-31,0.0,0.0,0,0,0
1999-04-30,0.0,0.0,0,0,0
1999-05-31,0.0,0.0,0,0,0
1999-06-30,0.0,0.0,0,0,0
1999-07-31,0.0,0.0,0,0,0
1999-08-31,0.0,0.0,0,0,0
1999-09-30,0.0,0.0,0,0,0
1999-10-31,0.0,0.0,0,0,0
1999-11-30,0.0,0.0,0,0,0
1999-12-31,0.0,0.0,0,0,0
2000-01-31,0.0,0.0,0,0,0
2000-02-29,0.0,0.0,0,0,0
2000-03-31,0.0,0.0,0,0,0
2000-04-30,0.0,0.0,0,0,0
2000-05-31,0.5,0.00075,50,0,0
2000-06-30,0.09999999999999992,0.00014999999999999988,5,5,45
2000-07-31,0.1,0.00015000000000000001,5,5,45
2000-08-31,0.12000000000000004,0.00018000000000000007,6,6,44
2000-09-30,0.09999999999999995,0.00014999999999999993,5,5,45
2000-10-31,0.26,0.00039000000000000005,13,13,37
2000-11-30,0.21999999999999997,0.00032999999999999994,11,11,39
2000-12-31,0.24,0.00035999999999999997,12,12,38
2001-01-31,0.24000000000000005,0.0003600000000000001,12,12,38
2001-02-28,0.21999999999999992,0.0003299999999999999,11,11,39
2001-03-31,0.28,0.00042000000000000007,14,14,36
2001-04-30,0.18,0.00027,9,9,41
2001-05-31,0.19999999999999998,0.0003,10,10,40
2001-06-30,0.28,0.00042000000000000007,14,14,36
2001-07-31,0.3400000000000001,0.0005100000000000001,17,17,33
2001-08-31,0.30000000000000004,0.0004500000000000001,15,15,35
2001-09-30,0.2,0.00030000000000000003,10,10,40
2001-10-31,0.33999999999999986,0.0005099999999999998,17,17,33
2001-11-30,0.24000000000000005,0.0003600000000000001,12,12,38
2001-12-31,0.29999999999999993,0.00044999999999999993,15,15,35
2002-01-31,0.26,0.00039000000000000005,13,13,37
2002-02-28,0.30000000000000004,0.0004500000000000001,15,15,35
2002-03-31,0.19999999999999998,0.0003,10,10,40
2002-04-30,0.36,0.00054,18,18,32
2002-05-31,0.38,0.00057,19,19,31
2002-06-30,0.19999999999999998,0.0003,10,10,40
2002-07-31,0.21999999999999992,0.0003299999999999999,11,11,39
2002-08-31,0.3599999999999999,0.0005399999999999998,18,18,32
2002-09-30,0.23999999999999996,0.00035999999999999997,12,12,38
2002-10-31,0.24,0.00035999999999999997,12,12,38
2002-11-30,0.28,0.00042000000000000007,14,14,36
2002-12-31,0.32000000000000006,0.0004800000000000001,16,16,34
2003-01-31,0.3799999999999999,0.0005699999999999999,19,19,31
2003-02-28,0.3,0.00045,15,15,35
2003-03-31,0.28,0.00042000000000000007,14,14,36
2003-04-30,0.37999999999999995,0.00057,19,19,31
2003-05-31,0.2800000000000001,0.0004200000000000001,14,14,36
2003-06-30,0.2,0.00030000000000000003,10,10,40
2003-07-31,0.25999999999999995,0.00038999999999999994,13,13,37
2003-08-31,0.2799999999999999,0.0004199999999999999,14,14,36
2003-09-30,0.2200000000000001,0.00033000000000000016,11,11,39
2003-10-31,0.21999999999999997,0.00032999999999999994,11,11,39
2003-11-30,0.26,0.00039000000000000005,13,13,37
2003-12-31,0.15999999999999998,0.00023999999999999998,8,8,42
